,Year/Month,Diseases,Case number,Disease_cn,Disease_en
0,2010-01-31,艾滋病 AIDS,1663,艾滋病,AIDS
1,2010-02-28,艾滋病 AIDS,1190,艾滋病,AIDS
2,2010-03-31,艾滋病 AIDS,2411,艾滋病,AIDS
3,2010-04-30,艾滋病 AIDS,2586,艾滋病,AIDS
4,2010-05-01,艾滋病 AIDS,2619,艾滋病,AIDS
5,2010-06-01,艾滋病 AIDS,3514,艾滋病,AIDS
6,2010-07-01,艾滋病 AIDS,5930,艾滋病,AIDS
7,2010-08-01,艾滋病 AIDS,3282,艾滋病,AIDS
8,2010-09-01,艾滋病 AIDS,3620,艾滋病,AIDS
9,2010-10-01,艾滋病 AIDS,2477,艾滋病,AIDS
10,2010-11-01,艾滋病 AIDS,3322,艾滋病,AIDS
11,2010-12-01,艾滋病 AIDS,3980,艾滋病,AIDS
12,2011-01-31,艾滋病 AIDS,1907,艾滋病,AIDS
13,2011-02-01,艾滋病 AIDS,1294,艾滋病,AIDS
14,2011-03-02,艾滋病 AIDS,3551,艾滋病,AIDS
15,2011-04-03,艾滋病 AIDS,2806,艾滋病,AIDS
16,2011-05-04,艾滋病 AIDS,3202,艾滋病,AIDS
17,2011-06-05,艾滋病 AIDS,3817,艾滋病,AIDS
18,2011-07-31,艾滋病 AIDS,5775,艾滋病,AIDS
19,2011-08-31,艾滋病 AIDS,3912,艾滋病,AIDS
20,2011-09-30,艾滋病 AIDS,3105,艾滋病,AIDS
21,2011-10-31,艾滋病 AIDS,2867,艾滋病,AIDS
22,2011-11-30,艾滋病 AIDS,4142,艾滋病,AIDS
23,2011-12-31,艾滋病 AIDS,5434,艾滋病,AIDS
24,2012-01-31,艾滋病 AIDS,1232,艾滋病,AIDS
25,2012-02-29,艾滋病 AIDS,2692,艾滋病,AIDS
26,2012-03-31,艾滋病 AIDS,3879,艾滋病,AIDS
27,2012-04-30,艾滋病 AIDS,3392,艾滋病,AIDS
28,2012-05-31,艾滋病 AIDS,4281,艾滋病,AIDS
29,2012-06-30,艾滋病 AIDS,5052,艾滋病,AIDS
30,2012-07-31,艾滋病 AIDS,5552,艾滋病,AIDS
31,2012-08-31,艾滋病 AIDS,4792,艾滋病,AIDS
32,2012-09-30,艾滋病 AIDS,4727,艾滋病,AIDS
33,2012-10-31,艾滋病 AIDS,4012,艾滋病,AIDS
34,2012-11-30,艾滋病 AIDS,5078,艾滋病,AIDS
35,2012-12-31,艾滋病 AIDS,5163,艾滋病,AIDS
36,2013-01-01,艾滋病 AIDS,2407,艾滋病,AIDS
37,2013-02-01,艾滋病 AIDS,1838,艾滋病,AIDS
38,2013-03-03,艾滋病 AIDS,4295,艾滋病,AIDS
39,2013-04-02,艾滋病 AIDS,3806,艾滋病,AIDS
40,2013-05-03,艾滋病 AIDS,3913,艾滋病,AIDS
41,2013-06-03,艾滋病 AIDS,4122,艾滋病,AIDS
42,2013-07-04,艾滋病 AIDS,4085,艾滋病,AIDS
43,2013-08-04,艾滋病 AIDS,3878,艾滋病,AIDS
44,2013-09-04,艾滋病 AIDS,4037,艾滋病,AIDS
45,2013-10-05,艾滋病 AIDS,3284,艾滋病,AIDS
46,2013-11-30,艾滋病 AIDS,4422,艾滋病,AIDS
47,2013-12-31,艾滋病 AIDS,5952,艾滋病,AIDS
48,2014-01-30,艾滋病 AIDS,2245,艾滋病,AIDS
49,2014-02-27,艾滋病 AIDS,2289,艾滋病,AIDS
50,2014-03-30,艾滋病 AIDS,4221,艾滋病,AIDS
51,2014-04-29,艾滋病 AIDS,3369,艾滋病,AIDS
52,2014-05-30,艾滋病 AIDS,3823,艾滋病,AIDS
53,2014-06-29,艾滋病 AIDS,4432,艾滋病,AIDS
54,2014-07-30,艾滋病 AIDS,4354,艾滋病,AIDS
55,2014-08-30,艾滋病 AIDS,3997,艾滋病,AIDS
56,2014-09-29,艾滋病 AIDS,3997,艾滋病,AIDS
57,2014-10-30,艾滋病 AIDS,3999,艾滋病,AIDS
58,2014-11-30,艾滋病 AIDS,4464,艾滋病,AIDS
59,2014-12-30,艾滋病 AIDS,5411,艾滋病,AIDS
60,2015-01-01,艾滋病 AIDS,2597,艾滋病,AIDS
61,2015-02-01,艾滋病 AIDS,2294,艾滋病,AIDS
62,2015-03-01,艾滋病 AIDS,4238,艾滋病,AIDS
63,2015-04-01,艾滋病 AIDS,4299,艾滋病,AIDS
64,2015-05-01,艾滋病 AIDS,4401,艾滋病,AIDS
65,2015-06-01,艾滋病 AIDS,5089,艾滋病,AIDS
66,2015-07-01,艾滋病 AIDS,4701,艾滋病,AIDS
67,2015-08-01,艾滋病 AIDS,4268,艾滋病,AIDS
68,2015-09-01,艾滋病 AIDS,4967,艾滋病,AIDS
69,2015-10-01,艾滋病 AIDS,3955,艾滋病,AIDS
70,2015-11-01,艾滋病 AIDS,5040,艾滋病,AIDS
71,2015-12-30,艾滋病 AIDS,5707,艾滋病,AIDS
72,2016-01-01,艾滋病 AIDS,2862,艾滋病,AIDS
73,2016-02-01,艾滋病 AIDS,2582,艾滋病,AIDS
74,2016-03-01,艾滋病 AIDS,5255,艾滋病,AIDS
75,2016-04-01,艾滋病 AIDS,4574,艾滋病,AIDS
76,2016-05-01,艾滋病 AIDS,5041,艾滋病,AIDS
77,2016-06-01,艾滋病 AIDS,5159,艾滋病,AIDS
78,2016-07-01,艾滋病 AIDS,4459,艾滋病,AIDS
79,2016-08-01,艾滋病 AIDS,4469,艾滋病,AIDS
80,2016-09-01,艾滋病 AIDS,4877,艾滋病,AIDS
81,2016-10-01,艾滋病 AIDS,4244,艾滋病,AIDS
82,2016-11-01,艾滋病 AIDS,5743,艾滋病,AIDS
83,2016-12-01,艾滋病 AIDS,6335,艾滋病,AIDS
84,2017-01-01,艾滋病 AIDS,2503,艾滋病,AIDS
85,2017-02-01,艾滋病 AIDS,3325,艾滋病,AIDS
86,2017-03-01,艾滋病 AIDS,5179,艾滋病,AIDS
87,2017-04-01,艾滋病 AIDS,4140,艾滋病,AIDS
88,2017-05-01,艾滋病 AIDS,5025,艾滋病,AIDS
89,2017-06-01,艾滋病 AIDS,5916,艾滋病,AIDS
90,2017-07-01,艾滋病 AIDS,4950,艾滋病,AIDS
91,2017-08-01,艾滋病 AIDS,5400,艾滋病,AIDS
92,2017-09-01,艾滋病 AIDS,5283,艾滋病,AIDS
93,2017-10-01,艾滋病 AIDS,4485,艾滋病,AIDS
94,2017-11-01,艾滋病 AIDS,6136,艾滋病,AIDS
95,2017-12-01,艾滋病 AIDS,6622,艾滋病,AIDS
96,2018-01-01,艾滋病 AIDS,3309,艾滋病,AIDS
97,2018-02-01,艾滋病 AIDS,2559,艾滋病,AIDS
98,2018-03-01,艾滋病 AIDS,5331,艾滋病,AIDS
99,2018-04-01,艾滋病 AIDS,4642,艾滋病,AIDS
100,2018-05-01,艾滋病 AIDS,5593,艾滋病,AIDS
101,2018-06-01,艾滋病 AIDS,5809,艾滋病,AIDS
102,2018-07-01,艾滋病 AIDS,5289,艾滋病,AIDS
103,2018-08-01,艾滋病 AIDS,5750,艾滋病,AIDS
104,2018-09-01,艾滋病 AIDS,6155,艾滋病,AIDS
105,2018-10-01,艾滋病 AIDS,5823,艾滋病,AIDS
106,2018-11-01,艾滋病 AIDS,7622,艾滋病,AIDS
107,2018-12-01,艾滋病 AIDS,7897,艾滋病,AIDS
108,2019-01-01,艾滋病 AIDS,3688,艾滋病,AIDS
109,2019-02-01,艾滋病 AIDS,3587,艾滋病,AIDS
110,2019-03-01,艾滋病 AIDS,6086,艾滋病,AIDS
111,2019-04-01,艾滋病 AIDS,6277,艾滋病,AIDS
112,2019-05-01,艾滋病 AIDS,6291,艾滋病,AIDS
113,2019-06-01,艾滋病 AIDS,6642,艾滋病,AIDS
114,2019-07-01,艾滋病 AIDS,6912,艾滋病,AIDS
115,2019-08-01,艾滋病 AIDS,6404,艾滋病,AIDS
116,2019-09-01,艾滋病 AIDS,6435,艾滋病,AIDS
117,2019-10-01,艾滋病 AIDS,6207,艾滋病,AIDS
118,2019-11-01,艾滋病 AIDS,7366,艾滋病,AIDS
119,2019-12-01,艾滋病 AIDS,6735,艾滋病,AIDS
120,2020-01-31,艾滋病 AIDS,2759,艾滋病,AIDS
121,2020-02-29,艾滋病 AIDS,2133,艾滋病,AIDS
122,2020-03-31,艾滋病 AIDS,4808,艾滋病,AIDS
123,2020-04-01,艾滋病 AIDS,5960,艾滋病,AIDS
124,2020-05-01,艾滋病 AIDS,5484,艾滋病,AIDS
125,2020-06-01,艾滋病 AIDS,6915,艾滋病,AIDS
126,2020-07-01,艾滋病 AIDS,6124,艾滋病,AIDS
127,2020-08-01,艾滋病 AIDS,5166,艾滋病,AIDS
128,2020-09-01,艾滋病 AIDS,6927,艾滋病,AIDS
129,2020-10-01,艾滋病 AIDS,4546,艾滋病,AIDS
130,2020-11-01,艾滋病 AIDS,5824,艾滋病,AIDS
131,2020-12-01,艾滋病 AIDS,6508,艾滋病,AIDS
132,2021-01-31,艾滋病 AIDS,3260,艾滋病,AIDS
133,2021-02-28,艾滋病 AIDS,3051,艾滋病,AIDS
134,2021-03-31,艾滋病 AIDS,5951,艾滋病,AIDS
135,2021-04-30,艾滋病 AIDS,5283,艾滋病,AIDS
136,2021-05-31,艾滋病 AIDS,5047,艾滋病,AIDS
137,2021-06-30,艾滋病 AIDS,5978,艾滋病,AIDS
138,2021-07-31,艾滋病 AIDS,3373,艾滋病,AIDS
139,2021-08-31,艾滋病 AIDS,4710,艾滋病,AIDS
140,2021-09-30,艾滋病 AIDS,5039,艾滋病,AIDS
141,2021-10-31,艾滋病 AIDS,5357,艾滋病,AIDS
142,2021-11-30,艾滋病 AIDS,6493,艾滋病,AIDS
143,2021-12-31,艾滋病 AIDS,7490,艾滋病,AIDS
144,2022-01-31,艾滋病 AIDS,3109,艾滋病,AIDS
145,2022-02-28,艾滋病 AIDS,3364,艾滋病,AIDS
146,2022-03-31,艾滋病 AIDS,5020,艾滋病,AIDS
147,2022-04-30,艾滋病 AIDS,3837,艾滋病,AIDS
148,2022-05-31,艾滋病 AIDS,4490,艾滋病,AIDS
